y/m,rainfall,max_rainfall_per_day
1922/1,58.4,10.8
1922/2,150.3,36.7
1922/3,111.8,27.9
1922/4,100.6,29.6
1922/5,58.8,25.1
1922/6,139.5,57.0
1922/7,299.1,112.0
1922/8,49.7,35.7
1922/9,147.0,95.4
1922/10,161.1,62.7
1922/11,95.8,26.4
1922/12,13.3,8.2
1923/1,20.6,10.9
1923/2,49.3,34.2
1923/3,113.2,35.6
1923/4,151.1,35.2
1923/5,247.9,47.6
1923/6,316.0,58.6
1923/7,214.6,46.3
1923/8,69.2,60.7
1923/9,139.1,26.0
1923/10,160.3,40.8
1923/11,134.4,18.9
1923/12,37.5,12.8
1924/1,5.7,2.3
1924/2,33.9,10.9
1924/3,35.0,9.0
1924/4,150.8,63.2
1924/5,171.9,50.7
1924/6,104.5,37.4
1924/7,27.1,16.3
1924/8,71.5,26.4
1924/9,148.5,53.3
1924/10,121.0,36.9
1924/11,45.7,18.2
1924/12,17.5,10.7
1925/1,19.5,8.1
1925/2,47.5,23.3
1925/3,24.3,3.8
1925/4,118.6,34.5
1925/5,200.0,85.0
1925/6,206.4,46.3
1925/7,130.0,68.0
1925/8,99.0,56.4
1925/9,325.1,119.7
1925/10,71.9,24.5
1925/11,59.0,17.2
1925/12,41.4,22.9
1926/1,24.8,16.2
1926/2,66.7,19.4
1926/3,74.0,18.4
1926/4,113.8,30.3
1926/5,234.6,55.3
1926/6,78.1,28.0
1926/7,246.4,59.6
1926/8,48.0,15.2
1926/9,163.2,48.6
1926/10,106.8,75.5
1926/11,49.1,17.8
1926/12,82.8,28.5
1927/1,28.7,11.0
1927/2,33.3,13.1
1927/3,166.1,42.6
1927/4,62.8,22.4
1927/5,100.6,51.4
1927/6,61.8,32.8
1927/7,95.3,28.2
1927/8,150.0,32.7
1927/9,270.5,68.3
1927/10,48.2,20.8
1927/11,91.4,28.6
1927/12,33.3,12.0
1928/1,87.1,18.2
1928/2,72.3,22.5
1928/3,56.0,23.3
1928/4,91.6,37.1
1928/5,128.1,47.0
1928/6,315.6,50.8
1928/7,163.2,67.4
1928/8,137.9,63.7
1928/9,94.3,40.4
1928/10,94.6,42.5
1928/11,95.6,67.6
1928/12,47.8,13.1
1929/1,12.1,3.6
1929/2,23.6,17.9
1929/3,44.9,14.3
1929/4,95.4,25.2
1929/5,136.6,32.8
1929/6,99.7,41.2
1929/7,129.2,28.0
1929/8,34.8,18.4
1929/9,248.0,62.3
1929/10,171.2,47.4
1929/11,119.8,27.0
1929/12,98.7,28.5
1930/1,42.6,16.0
1930/2,59.4,15.9
1930/3,57.6,25.4
1930/4,90.4,17.6
1930/5,67.9,15.5
1930/6,158.9,37.8
1930/7,135.5,47.2
1930/8,99.8,51.1
1930/9,93.5,32.6
1930/10,148.9,44.7
1930/11,110.3,36.4
1930/12,36.4,16.3
1931/1,71.6,15.5
1931/2,103.0,20.9
1931/3,63.1,20.4
1931/4,123.2,24.5
1931/5,122.0,27.2
1931/6,70.3,36.9
1931/7,281.4,48.9
1931/8,40.7,25.8
1931/9,159.6,62.5
1931/10,215.0,62.5
1931/11,72.5,23.5
1931/12,95.9,38.6
1932/1,20.1,13.3
1932/2,23.2,10.1
1932/3,53.3,15.6
1932/4,168.4,61.1
1932/5,107.0,35.1
1932/6,146.6,30.3
1932/7,324.9,99.4
1932/8,202.5,73.1
1932/9,231.4,49.9
1932/10,34.3,9.9
1932/11,133.2,65.2
1932/12,52.3,12.4
1933/1,26.8,11.2
1933/2,25.1,10.6
1933/3,132.3,23.9
1933/4,197.9,81.4
1933/5,84.1,25.1
1933/6,82.5,42.2
1933/7,42.8,19.0
1933/8,230.3,48.8
1933/9,53.4,24.8
1933/10,163.2,54.5
1933/11,120.1,38.5
1933/12,34.0,10.7
1934/1,24.7,12.5
1934/2,28.9,16.6
1934/3,57.7,19.0
1934/4,142.2,42.4
1934/5,57.1,18.0
1934/6,166.3,86.3
1934/7,76.1,23.7
1934/8,5.6,1.7
1934/9,213.7,81.3
1934/10,101.6,40.4
1934/11,102.6,26.0
1934/12,34.7,20.0
1935/1,28.9,22.9
1935/2,72.5,27.7
1935/3,64.4,23.6
1935/4,76.4,30.9
1935/5,84.9,33.6
1935/6,301.8,131.2
1935/7,136.8,38.4
1935/8,446.8,143.8
1935/9,323.5,82.4
1935/10,91.0,66.3
1935/11,63.3,18.3
1935/12,69.6,26.6
1936/1,17.7,17.1
1936/2,38.8,13.2
1936/3,37.8,12.4
1936/4,260.6,41.0
1936/5,136.6,40.2
1936/6,66.3,28.4
1936/7,185.5,44.5
1936/8,54.0,16.7
1936/9,135.4,40.2
1936/10,147.8,35.6
1936/11,53.6,26.9
1936/12,45.3,14.6
1937/1,48.7,13.0
1937/2,110.1,29.5
1937/3,112.2,46.3
1937/4,73.9,13.7
1937/5,94.9,30.2
1937/6,116.5,41.4
1937/7,101.6,33.7
1937/8,52.2,33.8
1937/9,144.1,58.4
1937/10,98.1,41.8
1937/11,118.8,34.2
1937/12,33.8,16.4
1938/1,53.2,19.5
1938/2,27.2,15.6
1938/3,83.7,25.8
1938/4,95.7,36.4
1938/5,126.4,34.9
1938/6,163.2,50.7
1938/7,519.5,270.4
1938/8,320.5,135.4
1938/9,79.1,19.8
1938/10,190.0,43.2
1938/11,39.2,28.6
1938/12,21.5,7.2
1939/1,31.8,11.0
1939/2,33.5,11.9
1939/3,104.0,45.0
1939/4,99.6,24.7
1939/5,83.7,57.6
1939/6,106.5,39.5
1939/7,54.5,31.2
1939/8,112.0,103.5
1939/9,160.2,63.8
1939/10,149.0,64.5
1939/11,95.2,48.5
1939/12,1.0,1.0
1940/1,8.0,4.5
1940/2,77.9,25.6
1940/3,73.7,21.4
1940/4,101.2,30.7
1940/5,14.6,7.7
1940/6,254.4,94.0
1940/7,72.8,38.2
1940/8,196.5,32.9
1940/9,117.3,77.3
1940/10,127.5,55.6
1940/11,42.0,14.0
1940/12,32.1,10.3
1941/1,60.0,27.0
1941/2,67.4,13.9
1941/3,67.1,14.4
1941/4,58.4,20.1
1941/5,267.1,55.3
1941/6,334.0,68.9
1941/7,136.3,37.3
1941/8,151.6,40.8
1941/9,315.2,62.4
1941/10,52.7,14.9
1941/11,84.1,40.4
1941/12,60.4,25.6
1942/1,5.8,4.1
1942/2,49.2,9.7
1942/3,137.7,45.2
1942/4,90.9,30.5
1942/5,111.8,35.2
1942/6,248.7,54.5
1942/7,19.0,16.4
1942/8,141.9,37.3
1942/9,204.1,80.0
1942/10,40.0,11.0
1942/11,43.7,29.2
1942/12,7.2,2.2
1943/1,28.1,12.6
1943/2,50.6,23.2
1943/3,54.2,17.4
1943/4,132.0,50.5
1943/5,93.3,40.9
1943/6,153.8,51.3
1943/7,308.3,112.5
1943/8,92.8,33.8
1943/9,52.3,19.2
1943/10,129.7,56.4
1943/11,25.4,12.7
1943/12,27.0,10.9
1944/1,19.5,13.7
1944/2,33.1,14.1
1944/3,114.9,50.6
1944/4,113.8,55.3
1944/5,78.0,36.0
1944/6,86.2,35.7
1944/7,22.4,12.8
1944/8,133.2,73.4
1944/9,139.2,38.3
1944/10,166.7,51.5
1944/11,132.4,30.3
1944/12,16.7,10.4
1945/1,1.8,1.8
1945/2,47.0,19.3
1945/4,95.7,42.5
1945/5,138.9,21.9
1945/6,202.4,55.9
1945/7,205.5,89.9
1945/8,104.7,48.7
1945/9,169.1,31.9
1945/10,499.3,262.8
1945/11,54.7,15.9
1945/12,45.5,20.5
1946/1,37.9,20.8
1946/2,52.0,16.6
1946/3,88.5,16.4
1946/4,120.8,27.1
1946/5,119.7,56.9
1946/6,237.2,39.2
1946/7,179.8,58.1
1946/8,94.1,45.1
1946/9,166.8,47.3
1946/10,116.6,26.3
1946/11,72.3,26.7
1946/12,51.6,25.3
1947/1,51.7,16.6
1947/2,29.9,22.0
1947/3,53.5,15.3
1947/4,50.0,21.8
1947/5,123.8,28.9
1947/6,77.4,25.3
1947/7,113.7,43.3
1947/8,28.1,22.6
1947/9,91.2,43.1
1947/10,75.6,21.9
1947/11,16.9,10.7
1947/12,75.8,24.5
1948/1,30.2,17.4
1948/2,48.1,18.7
1948/3,132.7,40.5
1948/4,99.6,32.3
1948/5,87.9,59.0
1948/6,85.6,24.1
1948/7,143.7,50.7
1948/8,120.9,38.1
1948/9,179.3,49.6
1948/10,37.7,17.4
1948/11,107.6,45.6
1948/12,49.7,8.9
1949/1,30.0,18.3
1949/2,50.0,23.9
1949/3,109.7,20.6
1949/4,86.6,20.3
1949/5,122.1,23.4
1949/6,358.5,181.8
1949/7,163.4,113.3
1949/8,65.4,16.9
1949/9,163.3,41.2
1949/10,143.7,35.1
1949/11,108.5,35.7
1949/12,85.1,15.0
1950/1,107.6,44.2
1950/2,47.0,22.2
1950/3,201.9,117.1
1950/4,98.5,20.3
1950/5,77.6,31.5
1950/6,229.2,53.0
1950/7,91.8,29.2
1950/8,100.3,69.8
1950/9,214.8,84.5
1950/10,124.9,30.6
1950/11,89.6,25.2
1950/12,89.2,28.4
1951/1,42.5,15.6
1951/2,74.6,18.4
1951/3,106.0,27.2
1951/4,98.2,16.8
1951/5,162.8,51.0
1951/6,122.8,26.2
1951/7,496.0,109.4
1951/8,49.2,25.6
1951/9,95.3,32.9
1951/10,54.7,30.2
1951/11,116.9,33.3
1951/12,41.6,13.0
1952/1,61.1,22.1
1952/2,62.2,26.1
1952/3,121.7,19.7
1952/4,216.0,60.2
1952/5,139.7,55.3
1952/6,210.6,115.9
1952/7,421.4,95.7
1952/8,68.1,41.5
1952/9,160.4,44.6
1952/10,100.7,50.1
1952/11,102.8,42.5
1952/12,16.0,8.2
1953/1,43.5,25.0
1953/2,88.1,41.5
1953/3,105.5,24.7
1953/4,68.9,18.9
1953/5,185.0,49.8
1953/6,271.6,86.1
1953/7,195.5,54.9
1953/8,90.9,31.7
1953/9,360.7,116.2
1953/10,28.2,6.1
1953/11,41.3,17.8
1953/12,35.9,19.8
1954/1,63.8,12.8
1954/2,65.1,22.2
1954/3,60.3,21.6
1954/4,136.7,50.6
1954/5,158.9,46.9
1954/6,435.1,175.8
1954/7,361.0,112.7
1954/8,95.6,53.0
1954/9,236.8,57.8
1954/10,36.2,8.9
1954/11,40.3,27.4
1954/12,39.6,11.3
1955/1,49.6,18.9
1955/2,88.5,42.8
1955/3,126.1,25.7
1955/4,168.8,43.1
1955/5,74.4,20.7
1955/6,160.7,67.1
1955/7,110.3,32.9
1955/8,106.0,73.4
1955/9,56.7,30.6
1955/10,114.5,19.8
1955/11,79.9,35.7
1955/12,29.2,25.2
1956/1,39.9,18.9
1956/2,40.5,23.6
1956/3,179.1,35.9
1956/4,87.6,19.4
1956/5,234.1,43.2
1956/6,159.1,44.3
1956/7,95.5,34.4
1956/8,103.5,24.7
1956/9,230.4,83.7
1956/10,122.0,55.1
1956/11,26.8,23.0
1956/12,4.2,2.2
1957/1,41.7,15.3
1957/2,40.3,15.6
1957/3,36.1,16.0
1957/4,129.3,46.0
1957/5,115.2,31.3
1957/6,235.0,165.6
1957/7,261.4,51.7
1957/8,116.0,38.7
1957/9,286.1,57.1
1957/10,45.9,18.0
1957/11,32.9,17.0
1957/12,45.7,13.3
1958/1,56.2,15.8
1958/2,59.4,21.4
1958/3,101.4,39.1
1958/4,224.4,39.8
1958/5,82.4,14.6
1958/6,143.4,45.7
1958/7,64.9,32.9
1958/8,100.0,32.5
1958/9,183.3,56.8
1958/10,157.2,26.9
1958/11,71.7,23.4
1958/12,59.3,15.0
1959/1,65.2,41.3
1959/2,129.6,33.3
1959/3,96.1,20.9
1959/4,126.1,30.2
1959/5,173.5,52.3
1959/6,82.2,25.0
1959/7,227.1,80.7
1959/8,232.6,123.4
1959/9,144.3,60.1
1959/10,80.9,38.3
1959/11,83.4,38.2
1959/12,75.7,37.7
1960/1,19.7,12.3
1960/2,13.4,5.5
1960/3,41.8,12.5
1960/4,117.9,33.3
1960/5,240.6,112.3
1960/6,157.3,68.9
1960/7,139.6,43.6
1960/8,388.5,142.2
1960/9,186.1,48.2
1960/10,84.3,32.3
1960/11,93.0,40.1
1960/12,33.3,13.1
1961/1,58.9,24.3
1961/2,34.7,15.0
1961/3,80.6,21.5
1961/4,136.0,34.4
1961/5,109.8,31.7
1961/6,584.2,195.2
1961/7,82.5,28.9
1961/8,30.2,10.1
1961/9,155.6,104.0
1961/10,260.4,91.1
1961/11,77.2,28.5
1961/12,20.9,18.0
1962/1,37.8,14.8
1962/2,14.1,8.4
1962/3,39.8,13.2
1962/4,135.3,31.1
1962/5,133.3,41.8
1962/6,435.2,130.1
1962/7,195.0,61.3
1962/8,16.7,10.4
1962/9,19.7,9.9
1962/10,64.5,28.7
1962/11,59.8,19.6
1962/12,81.4,35.9
1963/1,38.1,12.7
1963/2,30.8,17.6
1963/3,99.6,27.8
1963/4,191.4,64.5
1963/5,311.9,39.8
1963/6,184.1,33.3
1963/7,75.4,23.0
1963/8,127.2,64.2
1963/9,111.0,25.5
1963/10,77.6,33.0
1963/11,36.8,10.0
1963/12,16.5,4.9
1964/1,78.4,23.1
1964/2,72.5,23.4
1964/3,72.4,19.2
1964/4,160.0,43.8
1964/5,76.6,25.2
1964/6,170.1,97.1
1964/7,116.7,36.6
1964/8,33.9,13.2
1964/9,138.4,45.7
1964/10,81.8,30.3
1964/11,72.2,41.1
1964/12,13.2,4.3
1965/1,55.3,27.6
1965/2,21.2,5.7
1965/3,95.3,60.3
1965/4,84.9,34.5
1965/5,268.2,106.3
1965/6,132.4,23.2
1965/7,235.7,65.0
1965/8,2.8,2.2
1965/9,558.6,219.4
1965/10,95.5,72.0
1965/11,130.9,46.6
1965/12,45.7,9.6
1966/1,62.8,18.9
1966/2,67.1,27.7
1966/3,182.6,39.5
1966/4,103.4,24.0
1966/5,189.4,49.2
1966/6,210.7,44.3
1966/7,188.4,78.7
1966/8,100.9,40.2
1966/9,209.8,95.7
1966/10,75.6,46.1
1966/11,50.6,14.9
1966/12,28.7,19.1
1967/1,57.4,30.0
1967/2,28.1,7.0
1967/3,137.0,26.3
1967/4,241.1,36.4
1967/5,53.4,16.5
1967/6,119.4,64.3
1967/7,520.8,319.4
1967/8,15.5,5.5
1967/9,37.2,11.2
1967/10,142.3,76.7
1967/11,66.7,17.0
1967/12,10.6,4.9
1968/1,24.5,14.0
1968/2,52.5,29.0
1968/3,67.0,20.0
1968/4,86.0,29.5
1968/5,84.5,29.5
1968/6,78.5,15.5
1968/7,213.5,64.0
1968/8,159.5,72.5
1968/9,192.5,58.0
1968/10,124.0,36.0
1968/11,35.0,16.5
1968/12,79.0,23.5
1969/1,56.5,14.5
1969/2,76.0,24.0
1969/3,139.0,38.0
1969/4,93.0,34.0
1969/5,112.5,26.0
1969/6,396.0,115.5
1969/7,178.0,52.5
1969/8,77.5,41.5
1969/9,28.0,9.5
1969/10,56.5,36.5
1969/11,89.0,47.0
1969/12,48.5,46.5
1970/1,50.5,47.5
1970/2,38.0,10.0
1970/3,39.5,13.0
1970/4,201.5,50.5
1970/5,122.0,38.5
1970/6,332.5,53.0
1970/7,158.0,49.0
1970/8,86.0,33.0
1970/9,207.5,53.0
1970/10,89.0,31.0
1970/11,94.5,42.5
1970/12,39.5,11.0
1971/1,25.5,10.5
1971/2,39.5,10.0
1971/3,79.5,23.5
1971/4,135.5,29.0
1971/5,203.0,50.5
1971/6,165.5,40.0
1971/7,145.5,24.5
1971/8,178.5,81.0
1971/9,193.5,54.5
1971/10,101.0,22.0
